Base;Total Base;Total Fraudes;Selecionados;TP;FP;FN;TN;Precisão;Cobertura;F1;AUC;Average Precision;KS;Balanced Accuracy;Erro_por_Acerto;Lift;Threshold
Teste;22500;1125;2250;565;1685;560;19690;0.2511111111111111;0.5022222222222222;0.3348148148148148;0.8295823885640026;0.28809676178400795;0.5099415204678363;0.7116959064327486;2.982300884955752;5.022222222222222;0.12403374257856158
Validação;22500;1125;2250;536;1714;589;19661;0.23822222222222222;0.47644444444444445;0.31762962962962965;0.8248255958414554;0.27485623075927446;0.5163040935672515;0.6981286549707602;3.1977611940298507;4.764444444444444;0.1240699930021774
