Base;Uso da Base;Estratégia;Threshold;% Real Bloqueado;Precisão;Cobertura;F1;AUC Global;Average Precision Global;Erro_por_Acerto;Lucro Aprovar Tudo;Lucro da Estratégia;Ganho vs Aprovar Tudo
Teste;Escolha do corte;Top 20%;0.05732306183359213;0.2184888888888889;0.1598860862489829;0.6986666666666667;0.2602218175798709;0.8295823885640026;0.28809676178400795;5.254452926208652;-4804.122999999992;48153.87699999999;52957.999999999985
Validação;Avaliação final;Top 20%;0.05732306183359213;0.21573333333333333;0.16089822826534816;0.6942222222222222;0.2612477002843285;0.8248255958414554;0.27485623075927446;5.215108834827145;19262.26800000001;47577.205;28314.93699999999
