Base Avaliada;Decil Acumulado;Top Acumulado;Percentual Teórico;Threshold Treino;Total Base;Selecionados para Bloqueio;% Real Selecionado;TP - Fraudes Bloqueadas;FP - Legítimas Bloqueadas;FN - Fraudes Aprovadas;TN - Legítimas Aprovadas;Precisão;Cobertura;F1;AUC Global;Average Precision Global;Balanced Accuracy;Erro_por_Acerto;Lift;Receita Comissão;Perda com Fraude;Comissão Perdida por Bloqueio;Lucro Líquido;Lucro Aprovar Tudo;Ganho vs Aprovar Tudo;Ganho Percentual vs Aprovar Tudo
Teste;1;Top 10%;0.1;0.1158331408496233;22500;2422;0.10764444444444445;581;1841;544;19534;0.2398843930635838;0.5164444444444445;0.32760078939949255;0.8295823885640026;0.28809676178400795;0.7151578947368421;3.1686746987951806;4.797687861271676;75455.311;25527.559999999998;14127.146000000002;49927.751000000004;-4804.122999999992;54731.873999999996;11.392687905784278
Teste;2;Top 20%;0.2;0.05732306183359213;22500;4916;0.2184888888888889;786;4130;339;17245;0.1598860862489829;0.6986666666666667;0.2602218175798709;0.8295823885640026;0.28809676178400795;0.7527251461988305;5.254452926208652;3.1977217249796577;63640.276999999995;15486.4;25942.180000000004;48153.87699999999;-4804.122999999992;52957.999999999985;11.023447984158622
Teste;3;Top 30%;0.30000000000000004;0.033998826365808255;22500;7373;0.32768888888888886;900;6473;225;14902;0.12206700122067002;0.8;0.21181454459872912;0.8295823885640026;0.28809676178400795;0.7485847953216375;7.192222222222222;2.4413400244134;51119.15700000001;9251.18;38463.3;41867.977000000006;-4804.122999999992;46672.1;9.71500937840269
Teste;4;Top 40%;0.4;0.022588040836778525;22500;9813;0.4361333333333333;982;8831;143;12544;0.10007133394476715;0.8728888888888889;0.1795575059425855;0.8295823885640026;0.28809676178400795;0.7298713450292398;8.992871690427698;2.001426678895343;40012.668000000005;6433.340000000001;49569.789000000004;33579.328;-4804.122999999992;38383.450999999994;7.989689481305965
Teste;5;Top 50%;0.5;0.016083594785598718;22500;12211;0.5427111111111111;1021;11190;104;10185;0.08361313569732208;0.9075555555555556;0.15311937612477505;0.8295823885640026;0.28809676178400795;0.6920233918128655;10.959843290891284;1.6722627139464414;30914.919;4621.6;58667.538;26293.319000000003;-4804.122999999992;31097.441999999995;6.473073649446537
Teste;6;Top 60%;0.6;0.01196002216695054;22500;14659;0.6515111111111112;1064;13595;61;7780;0.07258339586602088;0.9457777777777778;0.13482007095793208;0.8295823885640026;0.28809676178400795;0.6548771929824562;12.777255639097744;1.4516679173204174;21757.909;2418.6900000000005;67824.548;19339.218999999997;-4804.122999999992;24143.34199999999;5.025546181894183
Teste;7;Top 70%;0.7000000000000001;0.009171053187019088;22500;16917;0.7518666666666667;1090;15827;35;5548;0.06443222793639534;0.9688888888888889;0.12082917636625651;0.8295823885640026;0.28809676178400795;0.6142222222222222;14.520183486238532;1.2886445587279067;14540.423999999999;1452.2999999999997;75042.033;13088.124;-4804.122999999992;17892.246999999992;3.7243523948075477
Teste;8;Top 80%;0.8;0.00704009930389186;22500;19014;0.8450666666666666;1109;17905;16;3470;0.05832544440938256;0.9857777777777778;0.11013456477481504;0.8295823885640026;0.28809676178400795;0.5740584795321637;16.14517583408476;1.166508888187651;8622.119;1048.76;80960.338;7573.359;-4804.122999999992;12377.481999999993;2.576429038140783
Teste;9;Top 90%;0.9;0.005031402893700269;22500;20853;0.9268;1117;19736;8;1639;0.0535654342300868;0.9928888888888889;0.10164710164710165;0.8295823885640026;0.28809676178400795;0.5347836257309941;17.668755595344674;1.071308684601736;4004.976999999999;854.6899999999999;85577.48000000001;3150.286999999999;-4804.122999999992;7954.409999999991;1.655746532717835
Teste;10;Top 100%;1.0;-inf;22500;22500;1.0;1125;21375;0;0;0.05;1.0;0.09523809523809523;0.8295823885640026;0.28809676178400795;0.5;19.0;1.0;0.0;0.0;89582.45700000001;0.0;-4804.122999999992;4804.122999999992;1.0
