Cenário;Threshold;% Real Bloqueado;TP - Fraudes Bloqueadas;FP - Legítimas Bloqueadas;FN - Fraudes Aprovadas;TN - Legítimas Aprovadas;Precisão;Cobertura;F1;AUC Global;Average Precision Global;Balanced Accuracy;Erro_por_Acerto;Lift;Receita Comissão;Perda com Fraude;Comissão Perdida por Bloqueio;Lucro Líquido;Lucro Aprovar Tudo;Ganho vs Aprovar Tudo
Corte escolhido no teste: Top 20%;0.05732306183359213;0.21573333333333333;781;4073;344;17302;0.16089822826534816;0.6942222222222222;0.2612477002843285;0.8248255958414554;0.27485623075927446;0.7518362573099415;5.215108834827145;3.2179645653069633;64886.115000000005;17308.91;26668.933000000005;47577.205;19262.26800000001;28314.93699999999
Top 20% exato na validação;0.0627630627743644;0.2;749;3751;376;17624;0.16644444444444445;0.6657777777777778;0.2663111111111111;0.8248255958414554;0.27485623075927446;0.7451461988304093;5.008010680907877;3.328888888888889;66793.78300000001;20044.870000000003;24761.265;46748.91300000001;19262.26800000001;27486.644999999997
