Cenário;Threshold Score Original;% Real Bloqueado;TP - Fraudes Bloqueadas;FP - Legítimas Bloqueadas;Precisão;Cobertura;F1;Erro_por_Acerto;Lucro Líquido;Lucro Aprovar Tudo;Ganho vs Aprovar Tudo
Estratégia escolhida: Top 30%;68.0;0.30666666666666664;799;6101;0.11579710144927537;0.7102222222222222;0.19912772585669783;7.635794743429287;40538.848000000005;19262.26800000001;21276.579999999994
Top 20% exato na validação;78.0;0.2;672;3828;0.14933333333333335;0.5973333333333334;0.23893333333333333;5.696428571428571;40813.12000000002;19262.26800000001;21550.852000000006
