Base;Função da Base;Estratégia;Threshold Score Original;AUC Global;Average Precision Global;KS Global;Precisão;Cobertura;F1;Lucro Líquido;Lucro Aprovar Tudo;Ganho vs Aprovar Tudo
Teste;Escolha do corte;Top 30%;68.0;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.11547911547911548;0.7102222222222222;0.19865738438587768;35458.736999999994;-4804.122999999992;40262.859999999986
Validação;Avaliação final;Top 30%;68.0;0.7289207017543861;0.18451527829924536;0.440140350877193;0.11579710144927537;0.7102222222222222;0.19912772585669783;40538.848000000005;19262.26800000001;21276.579999999994
